ID,Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,For how many years have you used machine learning methods?,Which of the following ML model hubs/repositories do you use most often? - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,"Approximately how much money have you spent on machine learning and/or cloud computing services at home or at work in the past 5 years (approximate $USD)?
 (approximate $USD)?","Of the cloud platforms that you are familiar with, which has the best developer experience (most enjoyable to use)? - Selected Choice",Approximately how many times have you used a TPU (tensor processing unit)?
17055,616,40-44,Man,Other,No,Yes,20+ years,2-3 years,,Teacher / professor,Academics/Education,50-249 employees,0,No (we do not use ML methods),"40,000-49,999",$100-$999,,More than 25 times
17056,236,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17057,563,25-29,Man,Turkey,No,,1-3 years,1-2 years,,Currently not employed,,,,,,,,
17058,178,18-21,Man,China,Yes,,1-3 years,2-3 years,,,,,,,,,,
17059,195,25-29,Man,Other,No,,I have never written code,,,Other,Computers/Technology,"10,000 or more employees",0,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","$1000-$9,999",,
17060,239,30-34,Man,Japan,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
17061,1568,22-24,Man,India,No,,3-5 years,2-3 years,  TensorFlow Hub ,Machine Learning/ MLops Engineer,Other,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","$1000-$9,999", Google Cloud Platform (GCP) ,Once
17062,7044,22-24,Woman,Other,No,,5-10 years,Under 1 year,,Software Engineer,Marketing/CRM,"1000-9,999 employees",1-2,No (we do not use ML methods),"10,000-14,999",$0 ($USD),,
17063,443,22-24,Man,Taiwan,Yes,,3-5 years,1-2 years,,,,,,,,,,
17064,339,30-34,Woman,United States of America,No,,1-3 years,Under 1 year,,Currently not employed,,,,,,,,
17065,474,30-34,Man,Other,No,Yes,3-5 years,3-4 years,,Currently not employed,,,,,,,,
17066,717,35-39,Man,Brazil,No,Yes,10-20 years,5-10 years,  TensorFlow Hub ,Data Engineer,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$10,000-$99,999", Google Cloud Platform (GCP) ,2-5 times
17067,406,18-21,Prefer to self-describe,Ukraine,Yes,,3-5 years,1-2 years,,,,,,,,,,
17068,421,22-24,Man,India,No,No,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees",20+,We use ML methods for generating insights (but do not put working models into production),$0-999,$100-$999,,
17069,347,25-29,Man,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
17070,527,40-44,Man,India,No,,5-10 years,Under 1 year,,Currently not employed,,,,,,,,
17071,123,30-34,Man,Mexico,Yes,No,I have never written code,,,,,,,,,,,
17072,571,35-39,Man,Spain,No,Yes,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,0-49 employees,3-4,No (we do not use ML methods),"15,000-19,999",$0 ($USD),,
17073,390,18-21,Woman,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
17074,235,22-24,Man,Other,Yes,Yes,I have never written code,,,,,,,,,,,
17075,248,25-29,Man,United States of America,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
17076,372,60-69,Man,United States of America,No,,20+ years,1-2 years,,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",$100-$999, Google Cloud Platform (GCP) ,Never
17077,349,22-24,Woman,Sri Lanka,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
17078,4529,18-21,Man,South Africa,Yes,,3-5 years,Under 1 year,,,,,,,,,,
17079,1354,45-49,Man,Morocco,Yes,Yes,10-20 years,5-10 years, Huggingface Models ,,,,,,,,,
17080,547,60-69,Man,Taiwan,No,,< 1 years,Under 1 year,,Currently not employed,,,,,,,,
17081,177,30-34,Man,South Africa,No,,I have never written code,,,Currently not employed,,,,,,,,
17082,314,40-44,Man,Nigeria,No,,I have never written code,,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,250-999 employees,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","2,000-2,999",$100-$999,,
17083,545,25-29,Woman,India,No,,3-5 years,3-4 years,,Data Scientist,Medical/Pharmaceutical,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$0 ($USD),,
17084,3954,30-34,Man,India,No,No,5-10 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees",20+,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",$100-$999,,
17085,752,55-59,Man,Hong Kong (S.A.R.),No,,3-5 years,Under 1 year,,Currently not employed,,,,,,,,
17086,389,25-29,Man,Indonesia,No,No,3-5 years,I do not use machine learning methods,,Data Engineer,Accounting/Finance,"10,000 or more employees",20+,I do not know,"5,000-7,499",$0 ($USD),,
17087,320,25-29,Man,United States of America,Yes,Yes,3-5 years,2-3 years, PyTorch Hub ,,,,,,,,,
17088,457,30-34,Man,Pakistan,No,No,5-10 years,Under 1 year,,Software Engineer,Computers/Technology,0-49 employees,0,No (we do not use ML methods),"1,000-1,999",$0 ($USD),,
17089,474,22-24,Man,Morocco,Yes,Yes,3-5 years,2-3 years, Kaggle datasets ,,,,,,,,,
17090,1139,25-29,Man,United States of America,No,Yes,5-10 years,4-5 years, ONNX models ,Data Scientist,Insurance/Risk Assessment,0-49 employees,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","$1000-$9,999", Amazon Web Services (AWS) ,Once
17091,878,18-21,Woman,India,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
17092,831,70+,Man,United States of America,No,No,20+ years,2-3 years,,Teacher / professor,Academics/Education,250-999 employees,0,No (we do not use ML methods),"90,000-99,999",$0 ($USD),,
17093,390,25-29,Man,Ghana,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
17094,244,60-69,Man,South Korea,No,Yes,20+ years,1-2 years,,,,,,,,,,
17095,35790,25-29,Man,"Iran, Islamic Republic of...",Yes,,1-3 years,2-3 years,,,,,,,,,,
17096,164,18-21,Woman,Tunisia,Yes,Yes,3-5 years,,,,,,,,,,,
17097,295,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17098,375,40-44,Man,India,No,No,1-3 years,Under 1 year,,Currently not employed,,,,,,,,
17099,341,55-59,Woman,United States of America,No,,I have never written code,,,Other,Non-profit/Service,0-49 employees,0,No (we do not use ML methods),"70,000-79,999",$0 ($USD),,
17100,469,35-39,Man,Brazil,No,No,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"1000-9,999 employees",3-4,No (we do not use ML methods),"5,000-7,499",$1-$99,,
17101,378,25-29,Man,Hong Kong (S.A.R.),No,Yes,1-3 years,2-3 years,  TensorFlow Hub ,"Manager (Program, Project, Operations, Executive-level, etc)",Marketing/CRM,"10,000 or more employees",10-14,No (we do not use ML methods),,$0 ($USD),,
17102,405,30-34,Man,Mexico,No,Yes,10-20 years,2-3 years,,Currently not employed,,,,,,,,
17103,445,30-34,Man,Other,Yes,No,5-10 years,Under 1 year,,,,,,,,,,
17104,285,18-21,Man,India,Yes,No,5-10 years,1-2 years,,,,,,,,,,
17105,432,22-24,Man,Egypt,Yes,No,3-5 years,2-3 years, Kaggle datasets ,,,,,,,,,
17106,1020,55-59,Man,South Korea,No,Yes,20+ years,4-5 years,,Teacher / professor,Medical/Pharmaceutical,0-49 employees,5-9,We are exploring ML methods (and may one day put a model into production),"200,000-249,999",$1-$99,,Once
17107,6201,40-44,Man,Nigeria,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17108,2640,45-49,Man,Brazil,Yes,No,10-20 years,1-2 years,,,,,,,,,,
17109,299,18-21,Woman,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
17110,464,50-54,Man,United States of America,No,Yes,5-10 years,5-10 years,,Data Scientist,Retail/Sales,50-249 employees,20+,We use ML methods for generating insights (but do not put working models into production),"200,000-249,999",$100-$999,,2-5 times
17111,989,30-34,Man,Indonesia,No,Yes,< 1 years,Under 1 year,,Teacher / professor,Academics/Education,0-49 employees,1-2,No (we do not use ML methods),"1,000-1,999",$0 ($USD),,
17112,654,30-34,Man,Other,Yes,Yes,< 1 years,1-2 years,,,,,,,,,,
17113,221,25-29,Man,United States of America,Yes,Yes,,,,,,,,,,,,
17114,247,25-29,Woman,India,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
17115,900,35-39,Woman,Pakistan,No,No,I have never written code,,,Teacher / professor,Government/Public Service,"10,000 or more employees",1-2,No (we do not use ML methods),$0-999,$0 ($USD),,
17116,635,60-69,Woman,Argentina,No,,20+ years,Under 1 year,,Research Scientist,Academics/Education,"10,000 or more employees",10-14,I do not know,"1,000-1,999",$0 ($USD),,
17117,500,30-34,Woman,Ireland,Yes,Yes,3-5 years,1-2 years,,,,,,,,,,
17118,200,22-24,Man,Pakistan,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17119,957,45-49,Woman,South Africa,Yes,,I have never written code,,,,,,,,,,,
17120,488,25-29,Man,India,No,No,< 1 years,I do not use machine learning methods,,Other,Online Service/Internet-based Services,"10,000 or more employees",20+,I do not know,"3,000-3,999",$1-$99,,
17121,301,45-49,Man,Ecuador,No,Yes,5-10 years,,,,,,,,,,,
17122,585,25-29,Man,France,No,,5-10 years,5-10 years, PyTorch Hub ,Machine Learning/ MLops Engineer,Retail/Sales,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",$1-$99, Amazon Web Services (AWS) ,6-25 times
17123,287,25-29,Man,Colombia,Yes,Yes,< 1 years,Under 1 year, PyTorch Hub ,,,,,,,,,
17124,295,18-21,Man,United States of America,Yes,,1-3 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
17125,854,30-34,Man,India,No,No,10-20 years,Under 1 year,,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",15-19,We are exploring ML methods (and may one day put a model into production),"25,000-29,999","$10,000-$99,999",They all had a similarly enjoyable developer experience,More than 25 times
17126,970,45-49,Prefer not to say,Brazil,No,No,1-3 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,250-999 employees,3-4,I do not know,"4,000-4,999","$1000-$9,999",,
17127,130,18-21,Woman,Indonesia,Yes,,I have never written code,,,,,,,,,,,
17128,303,40-44,Woman,United States of America,No,Yes,20+ years,2-3 years,,Teacher / professor,Academics/Education,250-999 employees,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",$0 ($USD),,
17129,209,18-21,Woman,China,Yes,,< 1 years,Under 1 year,,,,,,,,,,
17130,256,22-24,Man,Pakistan,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17131,324,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
17132,284,25-29,Man,India,Yes,Yes,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
17133,301,18-21,Woman,Nigeria,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17134,707,35-39,Man,India,Yes,Yes,5-10 years,3-4 years,,,,,,,,,,
17135,617,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17136,2641,30-34,Man,India,No,,1-3 years,2-3 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",$1-$99, Microsoft Azure ,Never
17137,159,30-34,Woman,India,No,,I have never written code,,,Currently not employed,,,,,,,,
17138,803,30-34,Man,Nigeria,No,No,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
17139,303,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
17140,239,22-24,Woman,United States of America,Yes,No,3-5 years,2-3 years,,,,,,,,,,
17141,655,30-34,Man,United States of America,No,No,3-5 years,5-10 years,,Data Scientist,Accounting/Finance,"1000-9,999 employees",15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",$100-$999,,Never
17142,312,22-24,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
17143,217,22-24,Man,Japan,Yes,No,1-3 years,2-3 years, Kaggle datasets ,,,,,,,,,
17144,628,22-24,Man,Taiwan,Yes,,1-3 years,1-2 years,,,,,,,,,,
17145,2410994,40-44,Man,Zimbabwe,No,No,10-20 years,4-5 years,,,,,,,,,,
17146,469,30-34,Man,Brazil,Yes,No,10-20 years,4-5 years,,,,,,,,,,
17147,443,22-24,Man,France,Yes,,3-5 years,1-2 years,,,,,,,,,,
17148,199,35-39,Woman,Other,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
17149,705,22-24,Woman,South Korea,Yes,Yes,1-3 years,2-3 years,,,,,,,,,,
17150,367,22-24,Man,Belgium,No,No,1-3 years,Under 1 year,,Data Scientist,Other,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",$0 ($USD),,
17151,290,18-21,Man,China,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17152,504,50-54,Man,Other,Yes,,10-20 years,I do not use machine learning methods,,,,,,,,,,
17153,438,35-39,Man,Mexico,No,No,< 1 years,Under 1 year,,Other,Other,0-49 employees,0,No (we do not use ML methods),$0-999,$1-$99,,Once
17154,545,40-44,Man,Portugal,No,,5-10 years,1-2 years,,Software Engineer,Academics/Education,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",$100-$999,,2-5 times
17155,400390,22-24,Man,India,No,,3-5 years,Under 1 year,,Data Engineer,Retail/Sales,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",,,,
17156,315,35-39,Man,Bangladesh,Yes,No,5-10 years,Under 1 year,,,,,,,,,,
17157,737448,25-29,Man,India,Yes,No,< 1 years,,,,,,,,,,,
17158,200,22-24,Man,Kenya,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
17159,481,25-29,Man,India,No,No,1-3 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,50-249 employees,1-2,No (we do not use ML methods),$0-999,$1-$99,,Never
17160,232,45-49,Woman,Hong Kong (S.A.R.),No,No,3-5 years,,,,,,,,,,,
17161,326,45-49,Man,India,No,,< 1 years,I do not use machine learning methods,,Other,Other,50-249 employees,1-2,No (we do not use ML methods),"20,000-24,999",$100-$999,They all had a similarly enjoyable developer experience,
17162,359,30-34,Woman,Other,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
17163,2221,25-29,Man,Egypt,Yes,No,5-10 years,1-2 years,,,,,,,,,,
17164,362,22-24,Man,Other,Yes,,< 1 years,Under 1 year,,,,,,,,,,
17165,882,35-39,Man,Chile,Yes,No,1-3 years,1-2 years,,,,,,,,,,
17166,737,60-69,Man,Australia,No,,20+ years,5-10 years,,Data Scientist,Government/Public Service,"10,000 or more employees",5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$1000-$9,999",,Never
17167,7680,55-59,Man,United States of America,No,Yes,20+ years,3-4 years,,Data Scientist,Non-profit/Service,0-49 employees,10-14,No (we do not use ML methods),"150,000-199,999",$100-$999, Amazon Web Services (AWS) ,Never
17168,6265,30-34,Man,India,No,No,10-20 years,5-10 years, Huggingface Models ,Data Scientist,Medical/Pharmaceutical,"1000-9,999 employees",5-9,We use ML methods for generating insights (but do not put working models into production),"2,000-2,999",,,
17169,292,25-29,Man,Ghana,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17170,745,25-29,Man,India,No,No,3-5 years,3-4 years, Kaggle datasets ,Machine Learning/ MLops Engineer,Retail/Sales,"1000-9,999 employees",3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",$1-$99,They all had a similarly enjoyable developer experience,Once
17171,429,30-34,Man,Nigeria,Yes,,< 1 years,,,,,,,,,,,
17172,394,45-49,Man,United States of America,No,No,< 1 years,Under 1 year,,Teacher / professor,Academics/Education,50-249 employees,3-4,I do not know,$0-999,$0 ($USD),,
17173,714,40-44,Man,France,No,Yes,3-5 years,3-4 years,,Research Scientist,Academics/Education,"1000-9,999 employees",0,I do not know,"30,000-39,999",$100-$999,,Never
17174,831,60-69,Man,Other,No,,20+ years,10-20 years,,Teacher / professor,Academics/Education,50-249 employees,0,No (we do not use ML methods),"20,000-24,999","$10,000-$99,999", Microsoft Azure ,2-5 times
17175,177,22-24,Man,India,No,,I have never written code,,,Currently not employed,,,,,,,,
17176,611,22-24,Man,India,No,No,1-3 years,1-2 years,  TensorFlow Hub ,Data Scientist,Online Service/Internet-based Services,250-999 employees,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499","$1000-$9,999", Microsoft Azure ,2-5 times
17177,215,25-29,Man,India,No,,I have never written code,,,Currently not employed,,,,,,,,
17178,505,30-34,Man,Kenya,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
17179,237,18-21,Man,India,Yes,,1-3 years,1-2 years,  TensorFlow Hub ,,,,,,,,,
17180,191,18-21,Man,India,Yes,,1-3 years,,,,,,,,,,,
17181,310,30-34,Man,United States of America,No,Yes,10-20 years,,,,,,,,,,,
17182,396,40-44,Woman,Australia,No,No,1-3 years,Under 1 year,,Currently not employed,,,,,,,,
17183,284,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17184,274,35-39,Man,India,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
17185,231,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17186,330,45-49,Man,Australia,Yes,Yes,20+ years,10-20 years,,,,,,,,,,
17187,8024,40-44,Man,India,No,Yes,1-3 years,Under 1 year,,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",1-2,No (we do not use ML methods),"40,000-49,999","$1000-$9,999",They all had a similarly enjoyable developer experience,Never
17188,142,40-44,Man,Brazil,Yes,,< 1 years,1-2 years,,,,,,,,,,
17189,549,22-24,Man,India,No,,1-3 years,1-2 years, Huggingface Models ,Data Scientist,Computers/Technology,250-999 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",$1-$99,They all had a similarly enjoyable developer experience,2-5 times
17190,1502,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Yes,No,1-3 years,2-3 years,,,,,,,,,,
17191,9196,30-34,Man,Japan,No,,1-3 years,,,,,,,,,,,
17192,545,60-69,Man,Egypt,No,,I have never written code,,,Teacher / professor,Academics/Education,"10,000 or more employees",0,I do not know,$0-999,$0 ($USD),,
17193,1793,35-39,Man,Other,No,Yes,5-10 years,3-4 years, Kaggle datasets ,Machine Learning/ MLops Engineer,Government/Public Service,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"2,000-2,999",$100-$999, Amazon Web Services (AWS) ,Once
17194,225,18-21,Woman,Argentina,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17195,304,40-44,Man,India,No,No,I have never written code,,,Currently not employed,,,,,,,,
17196,1228,35-39,Man,Nigeria,No,No,3-5 years,1-2 years,,Engineer (non-software),Energy/Mining,50-249 employees,0,No (we do not use ML methods),"20,000-24,999","$10,000-$99,999",,Never
17197,720,35-39,Man,Thailand,No,Yes,3-5 years,3-4 years,,Data Scientist,Medical/Pharmaceutical,50-249 employees,20+,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$100-$999,,More than 25 times
17198,286,30-34,Woman,India,No,,1-3 years,1-2 years,,Currently not employed,,,,,,,,
17199,276,30-34,Man,Other,Yes,Yes,10-20 years,2-3 years,,,,,,,,,,
17200,10909,40-44,Man,India,No,Yes,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"1000-9,999 employees",1-2,No (we do not use ML methods),"90,000-99,999",$1-$99,,
17201,333,40-44,Man,Argentina,No,,< 1 years,Under 1 year,,,,,,,,,,
17202,2869,18-21,Man,India,Yes,,3-5 years,Under 1 year,,,,,,,,,,
17203,135,22-24,Man,India,No,,,,,,,,,,,,,
17204,317,18-21,Man,Sri Lanka,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17205,359,40-44,Man,Egypt,No,Yes,1-3 years,I do not use machine learning methods,,Research Scientist,Academics/Education,"1000-9,999 employees",20+,No (we do not use ML methods),"5,000-7,499",$0 ($USD),,
17206,201,25-29,Woman,Nigeria,Yes,No,I have never written code,,,,,,,,,,,
17207,540,40-44,Man,Mexico,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
17208,377,25-29,Woman,Mexico,Yes,Yes,3-5 years,1-2 years,,,,,,,,,,
17209,191,22-24,Woman,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
17210,472,25-29,Man,Portugal,Yes,Yes,3-5 years,4-5 years,,,,,,,,,,
17211,1154,22-24,Man,India,No,Yes,1-3 years,1-2 years,,,,,,,,,,
17212,518,30-34,Man,"Iran, Islamic Republic of...",No,Yes,3-5 years,2-3 years,,Data Scientist,Accounting/Finance,"1000-9,999 employees",3-4,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$1-$99,,Once
17213,1161,30-34,Man,India,No,No,< 1 years,Under 1 year,Other storage services (i.e. google drive),"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$1-$99,,Once
17214,252,50-54,Man,Other,No,,10-20 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
17215,715,45-49,Man,Poland,No,Yes,5-10 years,2-3 years,,Software Engineer,Medical/Pharmaceutical,"1000-9,999 employees",20+,I do not know,"50,000-59,999",$1-$99, Microsoft Azure ,Never
17216,136,40-44,Woman,Algeria,No,,,,,,,,,,,,,
17217,352,22-24,Man,Nigeria,No,,,,,,,,,,,,,
17218,663,25-29,Man,Russia,No,No,3-5 years,3-4 years, PyTorch Hub ,Data Scientist,Accounting/Finance,"10,000 or more employees",20+,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",$100-$999,,Never
17219,613,18-21,Man,Other,Yes,,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
17220,232,22-24,Woman,India,Yes,,3-5 years,1-2 years,,,,,,,,,,
17221,244,35-39,Woman,India,No,No,3-5 years,,,,,,,,,,,
17222,1055,60-69,Man,United States of America,No,No,20+ years,4-5 years,,Software Engineer,Computers/Technology,0-49 employees,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,"$10,000-$99,999",They all had a similarly enjoyable developer experience,Once
17223,217,25-29,Man,France,Yes,No,5-10 years,I do not use machine learning methods,,,,,,,,,,
17224,4032,25-29,Man,Viet Nam,No,Yes,1-3 years,1-2 years,,Research Scientist,Medical/Pharmaceutical,50-249 employees,3-4,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",$0 ($USD),,
17225,569,40-44,Man,India,No,,10-20 years,Under 1 year,,Software Engineer,Non-profit/Service,0-49 employees,0,No (we do not use ML methods),"7,500-9,999",$1-$99,,Once
17226,564,30-34,Man,India,Yes,No,5-10 years,3-4 years, Kaggle datasets ,,,,,,,,,
17227,8688,22-24,Man,India,Yes,Yes,5-10 years,3-4 years,  TensorFlow Hub ,,,,,,,,,
17228,185,18-21,Man,India,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
17229,212,22-24,Man,Mexico,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
17230,332,22-24,Man,Egypt,Yes,Yes,3-5 years,1-2 years,,,,,,,,,,
17231,156,25-29,Man,Other,No,,3-5 years,I do not use machine learning methods,,,,,,,,,,
17232,539,22-24,Man,Indonesia,Yes,,< 1 years,Under 1 year, PyTorch Hub ,,,,,,,,,
17233,538,30-34,Man,India,Yes,No,1-3 years,1-2 years,,,,,,,,,,
17234,314,35-39,Man,United States of America,No,,20+ years,10-20 years,,Software Engineer,Accounting/Finance,0-49 employees,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","300,000-499,999","$1000-$9,999",,2-5 times
17235,221,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Yes,No,3-5 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
17236,1072,40-44,Man,Other,Yes,,3-5 years,10-20 years,,,,,,,,,,
17237,883,30-34,Man,United States of America,No,No,5-10 years,5-10 years,,Data Scientist,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","$100,000 or more ($USD)",,Never
17238,362,18-21,Man,United States of America,Yes,,5-10 years,2-3 years, Kaggle datasets ,,,,,,,,,
17239,215,35-39,Man,India,No,,I have never written code,,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"1000-9,999 employees",5-9,We use ML methods for generating insights (but do not put working models into production),"3,000-3,999","$1000-$9,999",,
17240,199,18-21,Woman,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17241,362,35-39,Man,Australia,No,,10-20 years,3-4 years,,Data Scientist,Energy/Mining,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",$0 ($USD),,
17242,169,30-34,Man,United States of America,Yes,,I have never written code,,,,,,,,,,,
17243,714,18-21,Man,Viet Nam,Yes,,1-3 years,1-2 years,,,,,,,,,,
17244,1873,45-49,Man,Japan,No,,1-3 years,1-2 years,,Engineer (non-software),Manufacturing/Fabrication,"1000-9,999 employees",0,I do not know,,$100-$999,,Never
17245,195,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17246,16527,40-44,Man,Brazil,No,Yes,10-20 years,4-5 years, Huggingface Models ,"Manager (Program, Project, Operations, Executive-level, etc)",Energy/Mining,"10,000 or more employees",5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","$1000-$9,999",They all had a similarly enjoyable developer experience,Never
17247,63833,45-49,Man,Saudi Arabia,No,Yes,20+ years,2-3 years,,Teacher / professor,Academics/Education,"10,000 or more employees",20+,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",$1-$99,,Never
17248,2390,35-39,Man,India,No,No,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,50-249 employees,1-2,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$1-$99,They all had a similarly enjoyable developer experience,Once
17249,414,25-29,Man,Russia,No,,3-5 years,3-4 years, PyTorch Hub ,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees",5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",$0 ($USD),,
17250,363,18-21,Man,Russia,No,,5-10 years,1-2 years, Huggingface Models ,Software Engineer,Computers/Technology,0-49 employees,0,No (we do not use ML methods),$0-999,$0 ($USD),,
17251,583,35-39,Prefer not to say,India,No,Yes,10-20 years,1-2 years,,Teacher / professor,Academics/Education,0-49 employees,0,We are exploring ML methods (and may one day put a model into production),,,,
